Accumulation,,,,,,,
Delay (µs,Counts,Counts/Pulse,Sigma,Sigma/Pulse,Current,,
0,2,0.1,1.414213562,0.070710678,350,0.001998002,0.001412801
50,143,7.15,11.95826074,0.597913037,325,0.142857143,0.011946314
100,207,10.35,14.38749457,0.719374728,325,0.206793207,0.014373121
200,193,9.65,13.89244399,0.694622199,300,0.192807193,0.013878565
300,153,7.65,12.36931688,0.618465844,300,0.152847153,0.01235696
400,127,6.35,11.26942767,0.563471383,325,0.126873127,0.01125817
500,96,4.8,9.797958971,0.489897949,325,0.095904096,0.009788171
750,38,1.9,6.164414003,0.3082207,300,0.037962038,0.006158256
1000,20,1,4.472135955,0.223606798,300,0.01998002,0.004467668
1500,14,0.7,3.741657387,0.187082869,300,0.013986014,0.003737919
2000,8,0.4,2.828427125,0.141421356,300,0.007992008,0.002825602
,1001,,,,,,
,,,,,,,
,,,,,,,
Delay (µs,Counts,Counts/Pulse,Sigma,Sigma/Pulse,Current,,
0,1,0.05,1,0.05,300,0.00092081,0.00092081
50,180,9,13.41640786,0.670820393,300,0.165745856,0.012353967
100,231,11.55,15.19868415,0.759934208,300,0.212707182,0.013995105
200,176,8.8,13.26649916,0.663324958,300,0.162062615,0.012215929
300,170,8.5,13.03840481,0.651920241,275,0.156537753,0.012005898
400,136,6.8,11.66190379,0.583095189,300,0.125230203,0.010738401
500,104,5.2,10.19803903,0.509901951,300,0.095764273,0.00939046
750,56,2.8,7.483314774,0.374165739,325,0.051565378,0.006890713
1000,18,0.9,4.242640687,0.212132034,325,0.016574586,0.003906667
1500,9,0.45,3,0.15,300,0.008287293,0.002762431
2000,5,0.25,2.236067977,0.111803399,325,0.004604052,0.002058994
,1086,,,,,,
,,,,,,,
,,,,,,,
Delay (µs,Counts,Counts/Pulse,Sigma,Sigma/Pulse,Current,,
0,0,0,0,0,350,0,0
50,12,0.6,3.464101615,0.173205081,325,0.056338028,0.016263388
100,27,1.35,5.196152423,0.259807621,325,0.126760563,0.024395082
200,34,1.7,5.830951895,0.291547595,300,0.159624413,0.027375361
300,25,1.25,5,0.25,300,0.117370892,0.023474178
400,34,1.7,5.830951895,0.291547595,325,0.159624413,0.027375361
500,32,1.6,5.656854249,0.282842712,325,0.150234742,0.026558001
750,21,1.05,4.582575695,0.229128785,350,0.098591549,0.02151444
1000,18,0.9,4.242640687,0.212132034,300,0.084507042,0.019918501
1500,7,0.35,2.645751311,0.132287566,300,0.03286385,0.012421368
2000,3,0.15,1.732050808,0.08660254,300,0.014084507,0.008131694
,213,,,,,,
